name,line
CONNIE," Thank you, Tyra! Doesn’t she look lovely, everybody, now? "
CONNIE," Anyway, speaking of silk purses and sows’ ears ... "
SHERLOCK, Hello? 
OLD WOMAN, This one ... is a bit ... defective. Sorry. 
OLD WOMAN, She’s blind. This is ... a funny one. 
OLD WOMAN, I’ll give you ... twelve hours. 
OLD WOMAN, I like ... to watch you ... dance. 
 a voiceover replaces her voice and a news headline at the bottom of the screen reads, Make-over Queen Connie Prince dead at 48.) 
NEWS READER," ... continuing into the sudden death of the popular TV personality, Connie Prince. Miss Prince, famous for her make-over programmes, was found dead two days ago by her brother in the house they shared in Hampstead ... "
LESTRADE," Connie Prince, fifty-four. She had one of those make-over shows on the telly. Did you see it? "
SHERLOCK, No. 
LESTRADE, Very popular. She was going places. 
SHERLOCK," Not any more. So: dead two days. According to one of her staff, Raoul de Santos, she cut her hand on a rusty nail in the garden. Nasty wound. "
SHERLOCK, Tetanus bacteria enters the bloodstream – good night Vienna. 
JOHN, I suppose. 
SHERLOCK, Something’s wrong with this picture. 
LESTRADE, Eh? 
SHERLOCK," Can’t be as simple as it seems, otherwise the bomber wouldn’t be directing us towards it. Something’s wrong. "
SHERLOCK, John? 
JOHN, Mmm. 
SHERLOCK," The cut on her hand: it’s deep; would have bled a lot, right? "
JOHN, Yeah. 
SHERLOCK," But the wound’s clean – very clean, and fresh. "
SHERLOCK, How long would the bacteria have been incubating inside her? 
JOHN," Eight, ten days. "
JOHN, The cut was made later. 
LESTRADE, After she was dead? 
SHERLOCK," Must have been. The only question is, how did the tetanus enter the dead woman’s system? "
SHERLOCK," You want to help, right? "
JOHN, Of course. 
SHERLOCK," Connie Prince’s background – family history, everything. Give me data. "
JOHN, Right. 
LESTRADE, There’s something else that we haven’t thought of. 
LESTRADE," Yes. Why is he doing this, the bomber? "
LESTRADE," If this woman’s death was suspicious, why point it out? "
LESTRADE, ... who press-gangs suicide bombers? 
SHERLOCK, Bad Samaritan. 
LESTRADE," I’m – I’m serious, Sherlock. Listen: I’m cutting you slack here; I’m trusting you – but out there somewhere, some poor bastard’s covered in Semtex and is just waiting for you to solve the puzzle. So just tell me: what are we dealing with? "
SHERLOCK, Something new. 
 The wall behind the sofa is covered with paperwork," maps, photographs of Connie Prince – both when she was alive and pictures taken in the morgue – photos of Carl Powers, press cuttings and various sheets of paper with notes scribbled on them. Pieces of string are pinned between some of the exhibits, linking them together. Sherlock is pacing back and forth in front of the sofa while Lestrade stands nearby. "
SHERLOCK," Carl Powers, killed twenty years ago. The bomber knew him; admitted that he knew him. The bomber’s iPhone was in stationery from the Czech Republic. First hostage from Cornwall; the second from London; the third from Yorkshire, judging by her accent. What’s he doing – working his way round the world? Showing off? "
OLD WOMAN," You’re enjoying this, aren’t you? Joining the ... dots. "
OLD WOMAN, Three hours: boom ... boom. 
KENNY, We’re devastated. Of course we are. 
RAOUL," Can I get you anything, sir? "
JOHN," Er, no. No, thanks. "
KENNY, Raoul is my rock. I don’t think I could have managed. 
KENNY," We didn’t always see eye to eye, but my sister was very dear to me. "
JOHN," And – and to the public, Mr Prince. "
KENNY," Oh, she was adored. I’ve seen her take girls who looked like the back end of Routemasters and turn them into princesses. "
KENNY," Still, it’s a relief in a way to know that she’s beyond this vale of tears. "
SHERLOCK, Great. ... Thank you. Thanks again. 
MRS HUDSON, It was a real shame. I liked her. She taught you how to do your colours. 
LESTRADE, Colours? 
MRS HUDSON," You know ... (she gestures down at her clothes) ... what goes best with what. I should never wear cerise, apparently. Drains me. "
LESTRADE, Who was that? 
SHERLOCK," Well, Home Secretary, actually. Owes me a favour. "
MRS HUDSON," People can hardly move their faces. It’s silly, isn’t it?! "
MRS HUDSON, Did you ever see her show? 
SHERLOCK, Not until now. 
CONNIE," You look pasty, love! "
KENNY, Ah. (He looks at the audience.) Rained every day but one! 
MRS HUDSON," That’s the brother. No love lost there, if you can believe the papers. "
SHERLOCK, So I gather. I’ve just been having a very fruitful chat with people who loved this show. Fan sites – indispensible for gossip. 
CONNIE, Off! Off! Off! Off! 
JOHN," It’s more common than people think. The tetanus is in the soil, people cut themselves on rose bushes, garden forks, that sort of thing. If left un... "
JOHN, ...treated ... 
KENNY, I don’t know what I’m going to do now. 
KENNY," I mean, she’s left me this place, which is lovely ... "
KENNY, ... but it’s not the same without her. 
KENNY, No. 
JOHN, Right. 
SHERLOCK, John. 
SHERLOCK, I’ll remember.
JOHN, That’ll be him. 
KENNY, What? 
SHERLOCK," Ah, Mr Prince, isn’t it? "
KENNY, Yes. 
SHERLOCK, Very good to meet you. 
KENNY, Yes; thank you. 
SHERLOCK, So sorry to hear about ... 
KENNY," Yes, yes, very kind. "
JOHN," Shall we, er ... "
JOHN, Yes. 
JOHN," Um, yes. "
JOHN, Can you ...? 
KENNY, Not too close. I’m raw from crying. 
SHERLOCK," Oh, who’s this? "
KENNY, Sekhmet. Named after the Egyptian goddess. 
SHERLOCK, How nice(!) Was she Connie’s? 
KENNY, Yes. 
KENNY, Little present from yours truly. 
JOHN," Sherlock? Uh, light reading? "
SHERLOCK," Oh, um ... "
SHERLOCK, Two point eight. 
KENNY, Bloody hell. What do you think you’re playing at?! 
SHERLOCK, Sorry. 
KENNY," You’re like Laurel and bloody Hardy, you two. What’s going on? "
JOHN," Actually, I think we’ve got what we came for. Excuse us. "
KENNY, What? 
JOHN, Sherlock. 
SHERLOCK, What? 
KENNY, But you’ve not taken anything! 
JOHN," Yes! Ooh, yes! "
JOHN," What? No, yes. Yeah, it is. It must be. It’s how they got the tetanus into her system. Its paws stink of disinfectant. "
JOHN," No, he coated it onto the paws of her cat. It’s a new pet – bound to be a bit jumpy around her. A scratch is almost inevitable. She wouldn’t have ... "
JOHN, He murdered his sister for her money. 
SHERLOCK, Did he? 
SHERLOCK, No. It was revenge. 
JOHN, Revenge? Who wanted revenge? 
SHERLOCK," Raoul, the houseboy. Kenny Prince was the butt of his sister’s jokes, week in, week out, a virtual bullying campaign. Finally he had enough; fell out with her badly. It’s all on the website. She threatened to disinherit Kenny. Raoul had grown accustomed to a certain lifestyle, so ... "
JOHN," What about the disinfectant, then, on the cat’s claws? "
SHERLOCK," Raoul keeps a very clean house. You came through the kitchen door, saw the state of that floor, scrubbed to within an inch of its life. You smell of disinfectant now. No, the cat doesn’t come into it. "
SHERLOCK," Raoul’s internet records do, though. Hope we can get a cab from here. "
SHERLOCK, Raoul de Santos is your killer. Kenny Prince’s houseboy. Second autopsy shows it wasn’t tetanus that poisoned Connie Prince – it was botulinum toxin. 
SHERLOCK, We’ve been here before. Carl Powers? Tut-tut. Our bomber’s repeated himself. 
LESTRADE, So how’d he do it? 
SHERLOCK, Botox injection. 
SHERLOCK," Botox is a diluted form of botulinum. Among other things, Raoul de Santos was employed to give Connie her regular facial injections. My contact at the Home Office gave me the complete records of Raoul’s internet purchases. (He points to the folder.) He’s been bulk ordering Botox for months. "
LESTRADE, You sure about this? 
SHERLOCK, I’m sure. 
LESTRADE, All right – my office. 
JOHN," Hey, Sherlock. How long? "
SHERLOCK, What? 
JOHN, How long have you known? 
SHERLOCK," Well, this one was quite simple, actually, and like I said, the bomber repeated himself. That was a mistake. "
JOHN," No, but Sherl... The hostage... the old woman. She’s been there all this time. "
 Sherlock types into the message box, 
SHERLOCK, Hello? 
OLD WOMAN, He was so ... His voice ... 
OLD WOMAN, He sounded so ... soft. 
JOHN, What’s happened? 
NEWS READER," The explosion, which ripped through several floors, killing twelve people ... "
NEWS READER, ... is said to have been caused by a faulty gas main. A spokesman from the utilities company ... 
JOHN, He certainly gets about. 
SHERLOCK," Well, obviously I lost that round – although technically I did solve the case. "
SHERLOCK, He killed the old lady because she started to describe him. 
SHERLOCK," Just once, he put himself in the firing line. "
JOHN, What d’you mean? 
SHERLOCK," Well, usually, he must stay above it all. He organises these things but no-one ever has direct contact. "
JOHN," What ... like the Connie Prince murder – he-he arranged that? So people come to him wanting their crimes fixed up, like booking a holiday? "
JOHN, Huh. 
 The headline on the screen reads," “Connie Prince: man arrested.” Raoul is shoved into the back of a police car. John looks round at Sherlock, who is looking down at the pink phone.) "
SHERLOCK, Taking his time this time. 
JOHN, Anything on the Carl Powers case? 
SHERLOCK, Nothing. All the living classmates check out spotless. No connection. 
JOHN, Maybe the killer was older than Carl? 
SHERLOCK, The thought had occurred. 
JOHN," So why’s he doing this, then – playing this game with you? D’you think he wants to be caught? "
SHERLOCK, I think he wants to be distracted. 
JOHN, I hope you’ll be very happy together. 
SHERLOCK," Sorry, what? "
JOHN," There are lives at stake, Sherlock – actual human lives... Just – just so I know, do you care about that at all? "
JOHN, Nope. 
SHERLOCK, Then I’ll continue not to make that mistake. 
JOHN," And you find that easy, do you? "
SHERLOCK," Yes, very. Is that news to you? "
JOHN, No. (He smiles bitterly.) No. 
SHERLOCK, I’ve disappointed you. 
SHERLOCK," Don’t make people into heroes, John. Heroes don’t exist, and if they did, I wouldn’t be one of them. "
SHERLOCK, Excellent! 
SHERLOCK, View of the Thames. South Bank – somewhere between Southwark Bridge and Waterloo. 
SHERLOCK, You check the papers; I’ll look online ... 
SHERLOCK," Oh, you’re angry with me, so you won’t help. "
SHERLOCK," Not much cop, this caring lark. "
 Sherlock dismisses John from his mind and begins a search on his phone, 
Search, 
JOHN, Two kids stabbed in Stoke Newington. 
JOHN, Ah. Man found on the train line – Andrew West. 
SHERLOCK, Nothing! 
SHERLOCK, It’s me. Have you found anything on the South Bank between Waterloo Bridge and Southwark Bridge? 
LESTRADE," D’you reckon this is connected, then? The bomber? "
SHERLOCK," Must be. Odd, though ... (he holds up the pink phone) ... he hasn’t been in touch. "
LESTRADE," But we must assume that some poor bugger’s primed to explode, yeah? "
SHERLOCK, Yes. 
LESTRADE, Any ideas? 
SHERLOCK, Seven ... so far. 
LESTRADE, Seven?! 
JOHN, He’s dead about twenty-four hours – maybe a bit longer. (He looks up at Lestrade.) Did he drown? 
LESTRADE, Apparently not. Not enough of the Thames in his lungs. Asphyxiated. 
JOHN," Yes, I’d agree. "
 then selects the latter option and the screen changes to, 
JOHN, There’s quite a bit of bruising around the nose and mouth. More bruises here and here. 
 Sherlock shifts to a new search, 
He scrolls through the options, 
JOHN," In his late thirties, I’d say. Not in the best condition. "
SHERLOCK, He’s been in the river a long while. The water’s destroyed most of the data. 
SHERLOCK, But I’ll tell you one thing: that lost Vermeer painting’s a fake. 
LESTRADE, What? 
SHERLOCK, We need to identify the corpse. Find out about his friends and associates ... 
LESTRADE, Wait-wait-wait-wait-wait. What painting? What are you – what are you on about? 
SHERLOCK," It’s all over the place. Haven’t you seen the posters? Dutch Old Master, supposed to have been destroyed centuries ago; now it’s turned up. Worth thirty million pounds. "
LESTRADE, Okay. So what has that got to do with the stiff? 
LESTRADE, Golem? 
JOHN," It’s a horror story, isn’t it? What are you saying? "
SHERLOCK, Jewish folk story. A gigantic man made of clay. It’s also the name of an assassin – real name Oskar Dzundza – one of the deadliest assassins in the world. 
SHERLOCK, That is his trademark style. 
LESTRADE, So this is a hit? 
SHERLOCK, Definitely. The Golem squeezes the life out of his victims with his bare hands. 
LESTRADE, But what has this gotta do with that painting? I don’t see ... 
JOHN," All right, all right, girls, calm down. Sherlock? D’you wanna take us through it? "
SHERLOCK," What do we know about this corpse? The killer’s not left us with much – just the shirt and the trousers. They’re pretty formal – maybe he was going out for the night, but the trousers are heavy-duty, polyester, nasty, same as the shirt – cheap. They’re both too big for him, so some kind of standard-issue uniform. Dressed for work, then. What kind of work? There’s a hook on his belt for a walkie-talkie. "
LESTRADE, Tube driver? 
JOHN, Security guard? 
SHERLOCK, More likely. That’ll be borne out by his backside. 
LESTRADE, Backside?! 
SHERLOCK," Flabby. You’d think that he’d led a sedentary life, yet the soles of his feet and the nascent varicose veins in his legs show otherwise. So, a lot of walking and a lot of sitting around. Security guard’s looking good. And the watch helps, too. The alarm shows he did regular night shifts. "
LESTRADE, Why regular? Maybe he just set his alarm like that the night before he died. 
SHERLOCK," No-no-no, the buttons are stiff, hardly touched. He set his alarm like that a long time ago. His routine never varied. But there’s something else. The killer must have been interrupted, otherwise he would have stripped the corpse completely. There was some kind of badge or insignia on the shirt front that he tore off, suggesting the dead man worked somewhere recognisable, some kind of institution. "
SHERLOCK, Found this inside his trouser pockets. 
SHERLOCK, Sodden by the river but still recognisably ... 
SHERLOCK, Ticket stubs. He worked in a museum or gallery. Did a quick check – the Hickman Gallery has reported one of its attendants as missing. 
SHERLOCK, Alex Woodbridge. Tonight they unveil the re-discovered masterpiece. Now why would anyone want to pay the Golem to suffocate a perfectly ordinary gallery attendant? Inference: the dead man knew something about it – something that would stop the owner getting paid thirty million pounds. The picture’s a fake. 
LESTRADE, And a Happy New Year! 
JOHN, Poor sod. 
LESTRADE, I’d better get my feelers out for this Golem character. 
SHERLOCK, Pointless. You’ll never find him. But I know a man who can. 
LESTRADE, Who? 
SHERLOCK, Why hasn’t he phoned? He’s broken his pattern. Why? 
SHERLOCK, Waterloo Bridge. 
JOHN, Where now? The Gallery? 
SHERLOCK, In a bit. 
JOHN," The Hickman’s contemporary art, isn’t it? Why have they got hold of an Old Master? "
SHERLOCK, Dunno. Dangerous to jump to conclusions. Need data. 
SHERLOCK, Stop! 
SHERLOCK, You wait here. I won’t be a moment. 
HOMELESS GIRL, Change? Any change? 
SHERLOCK, What for? 
HOMELESS GIRL," Cup of tea, of course. "
JOHN, What are you doing? 
SHERLOCK, Investing. 
SHERLOCK, Now we go to the Gallery. 
SHERLOCK, Have you got any cash? 
SHERLOCK, No. I need you to find out all you can about the gallery attendant. Lestrade will give you the address. 
JOHN, Okay. 
JULIE, We’d been sharing about a year. Just sharing. 
JOHN, Mmm. 
JOHN, May I? 
JULIE, Yeah. 
JOHN, Sorry. 
JOHN," Stargazer, was he? "
JULIE," God, yeah. Mad about it. It’s all he ever did in his spare time. "
JULIE," He was a nice guy, Alex. I liked him. "
JULIE," He was, er, never much of a one for hoovering. "
JOHN, What about art? Did he know anything about that? 
JOHN, Hmm. 
JOHN, Has anyone else been round asking about Alex? 
JULIE," No. We had a break-in, though. "
JULIE, Last night. There was nothing taken. Oh – there was a message left for Alex on the landline. 
JOHN, Who was it from? 
JULIE," Well, I can play it for you if you like. I’ll get the phone. "
JOHN, Please. 
s VOICE," Oh, should I speak now? Alex? Love, it’s Professor Cairns. Listen, you were right. You were bloody right! Give us a call when ... "
JOHN, Professor Cairns? 
JULIE," No, no idea, sorry. "
JOHN, Mm. Can I try and ring back? 
JULIE," Well, no good. I mean, I’ve had other calls since – sympathy ones, you know. "
 He gets out the phone and looks at the message which reads, 
RE, BRUCE-PARTINGTON PLANS 
MISS WENCESLAS, Yes. Lovely. Now get back to work. We open tonight. 
SHERLOCK, Doesn’t it bother you? 
MISS WENCESLAS, What? 
SHERLOCK, That the painting’s a fake. 
SHERLOCK, It’s a fake. It has to be. It’s the only possible explanation. 
SHERLOCK," You’re in charge, aren’t you, Miss Wenceslas? "
MISS WENCESLAS, Who are you? 
MISS WENCESLAS, Golem? What the hell are you talking about? 
SHERLOCK, Or are you working for someone else? Did you fake it for them? 
MISS WENCESLAS, It’s not a fake. 
SHERLOCK," It is a fake. Don’t know why, but there’s something wrong with it. There has to be. "
MISS WENCESLAS," What the hell are you on about? You know, I could have you sacked on the spot. "
SHERLOCK, Not a problem. 
MISS WENCESLAS, No? 
SHERLOCK," No. I don’t work here, you see. Just popped in to give you a bit of friendly advice. "
MISS WENCESLAS, How did you get in? 
MISS WENCESLAS, I want to know. 
SHERLOCK, The art of disguise is knowing how to hide in plain sight. 
MISS WENCESLAS, Who are you? 
SHERLOCK, Sherlock Holmes. 
MISS WENCESLAS, Am I supposed to be impressed? 
SHERLOCK, You should be. 
SHERLOCK, Have a nice day! 
LUCY, He wouldn’t. He just wouldn’t. 
LUCY, Westie wasn’t a traitor. It’s a horrible thing to say! 
JOHN," I’m sorry, but you must understand that’s ... "
LUCY," That’s what they think, isn’t it, his bosses? "
LUCY, Everyone’s got debts; and Westie wouldn’t wanna clear them by selling out his country. 
JOHN," Can you, um, can you tell me exactly what happened that night? "
LUCY," We were having a night in, just watching a DVD. "
LUCY," He normally falls asleep, you know, but he sat through this one. He was quiet. "
LUCY," Out of the blue, he said he just had to go and see someone. "
JOHN, And you’ve no idea who? 
JOE," Oh, hi, Luce. You okay, love? "
LUCY, Yeah. 
JOE, Who’s this? 
JOHN, John Watson. Hi. 
JOHN," Uh, sort of, yeah. "
JOE," Well, tell ’em to get off their arses, will you? It’s bloody ridiculous. "
JOHN, I’ll do my best. 
JOHN," Well, er, thanks very much for your help; and again, I’m very, very sorry. "
LUCY," He didn’t steal those things, Mr Watson. "
LUCY, I knew Westie. He was a good man. (She starts to cry.) He was my good man. 
 Edit," John walks away, looking like one awesome BAMF and melting ovaries everywhere. There, fixed it for you me.) "
HOMELESS GIRL, Spare change? Any spare change? 
JOHN, Alex Woodbridge didn’t know anything special about art. 
SHERLOCK, And? 
JOHN, And ... 
SHERLOCK," Is that it? No habits, hobbies, personality? "
JOHN," No, give us a chance! He was an amateur astronomer. "
SHERLOCK, Hold that cab. 
HOMELESS GIRL," Spare change, sir? "
SHERLOCK, Don’t mind if I do. 
SHERLOCK," Fortunately, I haven’t been idle. "
SHERLOCK, Come on. 
SHERLOCK," Beautiful, isn’t it? "
JOHN, I thought you didn’t care about things like that. 
SHERLOCK, Doesn’t mean I can’t appreciate it. 
JOHN, Listen: Alex Woodbridge had a message on the answerphone at his flat – a Professor Cairns? 
SHERLOCK, This way. 
JOHN," Nice(!) Nice part of town. Er, any time you wanna explain. "
SHERLOCK, Homeless network – really is indispensible. 
SHERLOCK, My eyes and ears all over the city. 
JOHN," Oh, that’s clever. So you scratch their backs and ... "
SHERLOCK," Yes, then I disinfect myself. "
JOHN, Sherlock! 
SHERLOCK, Come on! 
JOHN, Oh shi... 
JOHN, I wish I’d ... 
SHERLOCK," No, no, no, no! It’ll take us weeks to find him again. "
JOHN, Or not. I have an idea where he might be going. 
SHERLOCK, What? 
JOHN, I told you: someone left Alex Woodbridge a message. There can’t be that many Professor Cairns in the book. Come on. 
NARRATOR, Titan is the largest moon. 
NARRATOR, Many are actually long dead ... 
CAIRNS, Tom? Is that you? 
NARRATOR, ... exploded into supernovas. 
NARRATOR, ... discovered by Urbain Le Verrier in 1846. 
NARRATOR, ... composed mainly of hydrogen. Their light takes so long to reach us ... 
SHERLOCK, Golem! 
SHERLOCK, John! 
JOHN, I can’t see him. I’ll go round. I’ll go! 
JOHN, Golem! 
JOHN," Let him go, or I will kill you. "
NARRATOR," ... long dead, exploded into supernovas. "
SHERLOCK, It’s a fake. It has to be. 
MISS WENCESLAS, That painting has been subjected to every test known to science. 
SHERLOCK," It’s a very good fake, then. "
SHERLOCK," You know about this, don’t you? This is you, isn’t it? "
MISS WENCESLAS," Inspector, my time is being wasted. Would you mind showing yourself and your friends out? "
SHERLOCK, The painting is a fake. 
SHERLOCK, It’s a fake. That’s why Woodbridge and Cairns were killed. 
SHERLOCK," Oh, come on. Proving it’s just the detail. The painting is a fake. I’ve solved it. I’ve figured it out. It’s a fake! That’s the answer. That’s why they were killed. "
SHERLOCK," Okay, I’ll prove it. Give me time. Will you give me time? "
s VOICE, Ten ... 
JOHN, What did he say? 
SHERLOCK, “Ten.” 
s VOICE, Nine ... 
LESTRADE, Jesus! 
SHERLOCK," The painting is a fake, but how can I prove it? How? How? "
s VOICE, Eight ... 
s VOICE, Seven ... 
SHERLOCK," No, shut up. Don’t say anything. It only works if I figure it out. "
s VOICE, Six ... 
SHERLOCK," Woodbridge knew, but how? "
s VOICE, Five ... 
LESTRADE, It’s speeding up! 
SHERLOCK, Oh! 
s VOICE, Four ... 
SHERLOCK," In the planetarium! You heard it too. Oh, that is brilliant! That is gorgeous! "
s VOICE, Three ... 
JOHN, What’s brilliant? What is? 
SHERLOCK, This is beautiful. I love this! 
s VOICE, Two ... 
SHERLOCK, The Van Buren Supernova! 
s VOICE, Please. Is somebody there? 
s VOICE, Somebody help me! 
SHERLOCK," The Van Buren Supernova, so-called. (He holds up his phone over his shoulder so that Miss Wenceslas can see the screen.) Exploding star, only appeared in the sky in eighteen fifty-eight. "
JOHN, So how could it have been painted in the sixteen forties? 
JOHN, Oh. 
 and looks at the message which reads, 
JOHN, Oh Sherl... 
SHERLOCK," You know, it’s interesting. Bohemian stationery, an assassin named after a Prague legend, and you, Miss Wenceslas. This whole case has a distinctly Czech feeling about it. Is that where this leads? "
SHERLOCK," What are we looking at, Inspector? "
MISS WENCESLAS, I just wanted my share – the thirty million. 
MISS WENCESLAS," I found a little old man in Argentina. Genius. I mean, really: brushwork immaculate, could fool anyone. "
MISS WENCESLAS," It’s true! I mean, it took a long time, but eventually I was put in touch with people ... his people. "
MISS WENCESLAS," Well, there was never any real contact; just messages ... whispers. "
SHERLOCK, And did those whispers have a name? 
MISS WENCESLAS, Moriarty. 
JOHN, So this is where West was found? 
TUBE GUARD, Yeah. 
JOHN, Uh-huh. 
TUBE GUARD, You gonna be long? 
JOHN, I might be. 
TUBE GUARD," You with the police, then? "
JOHN, Sort of. 
TUBE GUARD, I hate ’em. 
JOHN, The police? 
TUBE GUARD, No. Jumpers. 
TUBE GUARD, People who chuck themselves in front of trains. 
TUBE GUARD, Selfish bastards. 
JOHN," Well, that’s one way of looking at it. "
TUBE GUARD," I mean it. It’s all right for them. It’s over in a split second – strawberry jam all over the lines. What about the drivers, hmm? They’ve gotta live with it, haven’t they? "
JOHN," Yeah, speaking of strawberry jam, there’s no blood on the line. (He stands up again.) Has it been cleaned off? "
TUBE GUARD," No, there wasn’t that much. "
JOHN, You said his head was smashed in. 
TUBE GUARD," Well, it was, but there wasn’t much blood. "
JOHN, Okay. 
TUBE GUARD," Well, I’ll leave you to it then. "
TUBE GUARD, Just give us a shout when you’re off. 
JOHN, Right. 
JOHN," Right: so, uh, Andrew West got on the train somewhere – or did he? There’s no ticket on the body. Then how did he end up here? "
JOHN, Yes! 
SHERLOCK, Knew you’d get there eventually. West wasn’t killed here; that’s why there was so little blood. 
JOHN, How long have you been following me? 
SHERLOCK," Since the start. You don’t think I’d give up on a case like this just to spite my brother, do you? "
SHERLOCK, Come on. Got a bit of burglary to do. 
SHERLOCK," The missile defence plans haven’t left the country, otherwise Mycroft’s people would have heard about it. Despite what people think, we do still have a Secret Service. "
JOHN," Yeah, I know. I’ve met them. "
SHERLOCK, Which means whoever stole the memory stick can’t sell it or doesn’t know what to do with it. My money’s on the latter. We’re here. 
JOHN, Where? 
JOHN, Sherlock! What if there’s someone in? 
SHERLOCK, There isn’t. 
JOHN, Where are we? 
SHERLOCK," Oh, sorry, didn’t I say? Joe Harrison’s flat. "
JOHN, Joe ...? 
SHERLOCK, Brother of West’s fiancée. 
SHERLOCK, He stole the memory stick; killed his prospective brother-in-law. 
JOHN, Then why’d he do it? 
SHERLOCK, Let’s ask him. 
JOHN, Don’t. 
JOE, It wasn’t meant to ... 
JOE, God. (He rubs his hand over his face.) What’s Lucy gonna say? Jesus. 
JOHN, Why did you kill him? 
JOE, It was an accident. 
JOE, I swear it was. 
JOE," I started dealing drugs. I mean, the bike thing’s a great cover, right? I dunno – I dunno how it started; I just got out of my depth. I owed people thousands – serious people. Then at Westie’s engagement do, he starts talking about his job. "
JOE," I mean, usually he’s so careful; but that night after a few pints he really opened up. He told me about these missile plans – beyond top secret. He showed me the memory stick; he waved it in front of me. You hear about these things getting lost, ending up on rubbish tips and what-not. And there it was, and I thought ... well, I thought it could be worth a fortune. "
JOE," It was pretty easy to get the thing off him, he was so plastered. Next time I saw him, I could tell by the look on his face that he knew. "
JOHN, What happened? 
JOE," I was gonna call an ambulance, but it was too late. "
JOE," I just didn’t have a clue what to do, so I dragged him in ’ere, and I just sat in the dark, thinking. "
SHERLOCK, When a neat little idea popped into your head. 
JOHN, And points. 
SHERLOCK, Exactly. 
JOHN," D’you still have it, then? The memory stick? "
SHERLOCK, Fetch it for me – if you wouldn’t mind. 
JOHN," Well, maybe that’s over, too. We’ve heard nothing from the bomber. "
SHERLOCK," Five pips, remember, John? It’s a countdown. We’ve only had four. "
SHERLOCK," No, no, no! Of course he’s not the boy’s father! (He gestures at the screen.) Look at the turn-ups on his jeans! "
JOHN, Knew it was dangerous. 
SHERLOCK, Hmm? 
JOHN, Getting you into crap telly. 
SHERLOCK, Hmm. Not a patch on Connie Prince. 
JOHN, Have you given Mycroft the memory stick yet? 
SHERLOCK, Yep. He was over the moon. Threatened me with a knighthood – again. 
JOHN," You know, I’m still waiting. "
SHERLOCK, Hmm? 
JOHN, For you to admit that a little knowledge of the solar system and you’d have cleared up the fake painting a lot quicker. 
SHERLOCK," Didn’t do you any good, did it? "
JOHN," No, but I’m not the world’s only consulting detective. "
JOHN, I won’t be in for tea. I’m going to Sarah’s. There’s still some of that risotto left in the fridge. 
JOHN," Uh, milk. We need milk. "
SHERLOCK, I’ll get some. 
SHERLOCK, Really. 
JOHN," And some beans, then? "
